"106646","How many of the Orthodox Great Feasts dedicated to Mary?","Mary_(mother_of_Jesus)"
"103046","What type of wine is fermented after the grapes skin has been removed?","Grape"
"108003","When was a 11kV system of NY, New Haven and Hartford was converted to 12.5 kV?","Railway_electrification_system"
"106747","Journals from the 18th century have no substantial differences from what?","Czech_language"
"103464","What does a ""weak"" promoter sequence do?","Gene"
"104724","Since the 1970s, what is the only type of note that has remained in circulation?","United_States_dollar"
"103307","Which producer influenced Queen's feedback heavy sound?","Queen_(band)"
"103371","What is the basis of inheritance of phenotypic traits?","Gene"
"100538","On which Valencia metro line did the derailment occur?","Valencia"
"101018","In recent years, the whote population has begun to move where?","Boston"
"107971","How are stray earth currents kept to a manageable levels? ","Railway_electrification_system"
"107934","Where was an experimental 6kV DC railway built?","Railway_electrification_system"
"103668","Which Village already had streets when the grid plan was laid out?","List_of_numbered_streets_in_Manhattan"
"103121","What country did Queen play in for the first time in 1975?","Queen_(band)"
"104306","What country was Alsace annexed to? ","Strasbourg"
